"UF","Município","Zonas","Locais","Seções","Eleitorado","EleitoradoFeminino","EleitoradoMasculino","PorcentagemF","PorcentagemM"
"PA","São Geraldo Do Araguaia",1,22,73,1617,844,773,52.2,47.8
"MG","São Geraldo Do Baixio",1,3,11,911,475,436,52.14,47.86
"RJ","São Gonçalo",7,66,600,21553,11532,9495,53.51,44.05
"MG","São Gonçalo Do Abaeté",1,9,23,1111,565,544,50.86,48.96
"CE","São Gonçalo Do Amarante",1,42,174,2726,1419,1307,52.05,47.95
"RN","São Gonçalo Do Amarante",1,30,228,3240,1725,1515,53.24,46.76
"PI","São Gonçalo Do Gurguéia",1,6,13,765,396,369,51.76,48.24
"MG","São Gonçalo Do Pará",1,9,31,1295,673,622,51.97,48.03
"PI","São Gonçalo Do Piauí",1,6,24,1117,591,526,52.91,47.09
"MG","São Gonçalo Do Rio Abaixo",1,10,37,1531,784,747,51.21,48.79
"MG","São Gonçalo Do Rio Preto",1,3,13,761,419,336,55.06,44.15
"MG","São Gonçalo Do Sapucaí",1,12,57,1555,828,710,53.25,45.66
"BA","São Gonçalo Dos Campos",1,29,97,1572,846,726,53.82,46.18
"MG","São Gotardo",1,16,98,1740,961,779,55.23,44.77
"RS","São Jerônimo",1,21,54,1595,816,779,51.16,48.84
"PR","São Jerônimo Da Serra",1,9,35,1378,717,661,52.03,47.97
"SC","São Joaquim",1,24,73,1439,771,668,53.58,46.42
"SP","São Joaquim Da Barra",1,11,104,1571,851,719,54.17,45.77
"MG","São Joaquim De Bicas",1,10,66,2373,1239,1128,52.21,47.53
"PE","São Joaquim Do Monte",1,13,65,1380,728,652,52.75,47.25
"RS","São Jorge",1,2,7,451,246,205,54.55,45.45
"PR","São Jorge D'oeste",1,6,29,1061,567,494,53.44,46.56
"PR","São Jorge Do Ivaí",1,2,18,836,430,406,51.44,48.56
"PR","São Jorge Do Patrocínio",1,3,17,838,434,404,51.79,48.21
"SC","São José",2,49,407,6822,3650,3172,53.5,46.5
"MG","São José Da Barra",1,6,26,1064,548,511,51.5,48.03
"SP","São José Da Bela Vista",1,2,22,1093,567,519,51.88,47.48
"PR","São José Da Boa Vista",1,3,16,771,393,378,50.97,49.03
"PE","São José Da Coroa Grande",1,11,53,2131,1122,1009,52.65,47.35
"PB","São José Da Lagoa Tapada",1,6,27,1111,592,519,53.29,46.71
"AL","São José Da Laje",1,9,50,1552,837,715,53.93,46.07
"MG","São José Da Lapa",1,9,67,1693,887,805,52.39,47.55
"MG","São José Da Safira",1,5,15,1249,682,567,54.6,45.4
"AL","São José Da Tapera",1,8,62,1607,841,766,52.33,47.67
"MG","São José Da Varginha",1,5,15,847,444,403,52.42,47.58
"BA","São José Da Vitória",1,4,19,1058,542,516,51.23,48.77
"RS","São José Das Missões",1,3,8,678,354,324,52.21,47.79
"PR","São José Das Palmeiras",1,2,11,717,389,328,54.25,45.75
"PB","São José De Caiana",1,4,18,1030,543,487,52.72,47.28
"PB","São José De Espinharas",1,2,15,889,449,440,50.51,49.49
"RN","São José De Mipibu",1,20,108,2580,1389,1191,53.84,46.16
"PB","São José De Piranhas",1,17,59,1283,687,596,53.55,46.45
"PB","São José De Princesa",1,5,13,780,412,368,52.82,47.18
