"UF","Município","Zonas","Locais","Seções","Eleitorado","EleitoradoFeminino","EleitoradoMasculino","PorcentagemF","PorcentagemM"
"GO","Abadia De Goiás",1,7,47,2607,1340,1267,51.4,48.6
"MG","Abadia Dos Dourados",1,6,23,865,443,421,51.21,48.67
"GO","Abadiânia",1,9,39,1938,987,951,50.93,49.07
"PA","Abaetetuba",1,127,403,2806,1507,1299,53.71,46.29
"MG","Abaeté",1,10,66,1400,731,668,52.21,47.71
"CE","Abaiara",1,13,32,1083,550,533,50.78,49.22
"BA","Abaré",1,10,45,1290,699,591,54.19,45.81
"PR","Abatiá",1,3,18,889,474,415,53.32,46.68
"BA","Abaíra",1,19,30,962,500,462,51.98,48.02
"SC","Abdon Batista",1,6,9,638,332,306,52.04,47.96
"PA","Abel Figueiredo",1,2,20,1174,596,578,50.77,49.23
"SC","Abelardo Luz",1,9,44,1253,659,594,52.59,47.41
"MG","Abre Campo",1,8,38,1405,757,648,53.88,46.12
"PE","Abreu E Lima",1,32,233,2339,1235,1100,52.8,47.03
"TO","Abreulândia",1,3,9,748,359,389,47.99,52.01
"MG","Acaiaca",1,4,13,907,462,444,50.94,48.95
"BA","Acajutiba",1,12,42,1260,657,603,52.14,47.86
"CE","Acarape",1,18,42,1319,695,624,52.69,47.31
"CE","Acaraú",1,46,175,1890,983,907,52.01,47.99
"RN","Acari",1,4,29,1021,531,490,52.01,47.99
"PA","Acará",1,67,176,2254,1213,1041,53.82,46.18
"PI","Acauã",1,13,31,777,414,363,53.28,46.72
"RS","Aceguá",1,3,12,878,451,427,51.37,48.63
"CE","Acopiara",1,73,186,1914,1018,896,53.19,46.81
"MT","Acorizal",1,12,29,1215,618,597,50.86,49.14
"AC","Acrelândia",1,13,48,1418,754,664,53.17,46.83
"GO","Acreúna",1,6,47,1542,815,727,52.85,47.15
"SP","Adamantina",1,8,83,1487,781,703,52.52,47.28
"GO","Adelândia",1,1,8,856,429,427,50.12,49.88
"SP","Adolfo",1,2,14,833,443,390,53.18,46.82
"PR","Adrianópolis",1,7,24,1094,571,523,52.19,47.81
"BA","Adustina",1,9,46,1011,511,500,50.54,49.46
"PE","Afogados Da Ingazeira",1,20,106,2099,1130,969,53.84,46.16
"RN","Afonso Bezerra",1,12,33,1359,715,644,52.61,47.39
"ES","Afonso Cláudio",1,15,87,1608,883,717,54.91,44.59
"MA","Afonso Cunha",1,9,32,997,518,479,51.96,48.04
"PE","Afrânio",1,11,52,1449,755,694,52.1,47.9
"PA","Afuá",1,35,101,1572,814,758,51.78,48.22
"PE","Agrestina",1,17,65,1697,895,802,52.74,47.26
"PI","Agricolândia",1,7,23,1028,540,488,52.53,47.47
"SC","Agrolândia",1,5,26,948,510,438,53.8,46.2
"SC","Agronômica",1,8,16,800,424,376,53,47
"MG","Aguanil",1,4,13,827,422,401,51.03,48.49
"SP","Aguaí",1,5,68,1665,882,783,52.97,47.03
"RS","Agudo",1,32,49,1139,604,535,53.03,46.97
"SP","Agudos",1,14,96,1521,793,728,52.14,47.86
"PR","Agudos Do Sul",1,9,27,1329,692,637,52.07,47.93
"PB","Aguiar",1,4,17,827,442,385,53.45,46.55
"TO","Aguiarnópolis",1,1,15,903,457,446,50.61,49.39
"MG","Aimorés",1,15,73,1614,862,741,53.41,45.91
"BA","Aiquara",1,4,14,847,441,406,52.07,47.93
"CE","Aiuaba",1,17,52,1135,599,536,52.78,47.22
"MG","Aiuruoca",1,10,22,827,424,403,51.27,48.73
"RS","Ajuricaba",1,12,21,794,437,357,55.04,44.96
"MG","Alagoa",1,1,9,679,356,318,52.43,46.83
"PB","Alagoa Grande",1,15,79,1632,882,750,54.04,45.96
"PB","Alagoa Nova",1,9,52,1230,668,562,54.31,45.69
"PB","Alagoinha",1,6,40,1310,710,600,54.2,45.8
"PE","Alagoinha",1,7,44,1272,683,589,53.69,46.31
"PI","Alagoinha Do Piauí",1,7,26,968,492,476,50.83,49.17
"BA","Alagoinhas",1,59,378,3080,1690,1390,54.87,45.13
"SP","Alambari",1,5,21,1019,530,489,52.01,47.99
"MG","Albertina",1,1,10,1097,541,556,49.32,50.68
"PB","Alcantil",1,6,19,786,406,380,51.65,48.35
"MS","Alcinópolis",1,3,13,865,446,419,51.56,48.44
"BA","Alcobaça",1,14,60,1975,1010,965,51.14,48.86
"MA","Alcântara",1,47,78,1627,833,794,51.2,48.8
"CE","Alcântaras",1,11,44,1066,570,496,53.47,46.53
"MA","Aldeias Altas",1,17,75,1290,670,620,51.94,48.06
"RS","Alecrim",1,19,28,836,426,410,50.96,49.04
"ES","Alegre",1,24,103,1756,907,849,51.65,48.35
"RS","Alegrete",1,34,194,2178,1169,1009,53.67,46.33
"PI","Alegrete Do Piauí",1,5,23,922,468,454,50.76,49.24
"RS","Alegria",1,9,15,591,306,285,51.78,48.22
"PA","Alenquer",1,91,232,1858,969,889,52.15,47.85
"RN","Alexandria",1,6,43,1434,773,661,53.91,46.09
"GO","Alexânia",1,17,75,2385,1224,1161,51.32,48.68
"MG","Alfenas",1,22,177,2264,1219,1018,53.84,44.96
"ES","Alfredo Chaves",1,18,47,1348,722,618,53.56,45.85
"SP","Alfredo Marcondes",1,1,11,845,438,406,51.83,48.05
"MG","Alfredo Vasconcelos",1,5,19,886,471,414,53.16,46.73
"SC","Alfredo Wagner",1,17,29,998,526,472,52.71,47.29
"PB","Algodão De Jandaíra",1,2,10,585,311,274,53.16,46.84
"PB","Alhandra",1,11,65,1787,951,836,53.22,46.78
"PE","Aliança",1,10,102,1903,997,906,52.39,47.61
"TO","Aliança Do Tocantins",1,3,18,977,511,466,52.3,47.7
"BA","Almadina",1,8,29,1031,532,499,51.6,48.4
"TO","Almas",1,4,23,1007,503,504,49.95,50.05
"PA","Almeirim",1,45,114,1893,969,924,51.19,48.81
"MG","Almenara",1,22,111,1948,1027,916,52.72,47.02
"RN","Almino Afonso",1,3,21,876,469,407,53.54,46.46
"PR","Almirante Tamandaré",1,36,207,2627,1373,1254,52.26,47.74
"RS","Almirante Tamandaré Do Sul",1,5,8,536,289,247,53.92,46.08
"GO","Aloândia",1,1,11,693,346,347,49.93,50.07
"MG","Alpercata",1,4,26,1059,539,519,50.9,49.01
"RS","Alpestre",1,8,22,840,449,391,53.45,46.55
"MG","Alpinópolis",1,5,47,1222,679,539,55.56,44.11
"MT","Alta Floresta",1,25,149,2092,1117,975,53.39,46.61
"RO","Alta Floresta D'oeste",1,18,80,1777,932,845,52.45,47.55
"SP","Altair",1,3,11,681,342,339,50.22,49.78
"PA","Altamira",1,58,313,3157,1661,1495,52.61,47.36
"MA","Altamira Do Maranhão",1,9,25,1077,566,511,52.55,47.45
"PR","Altamira Do Paraná",1,1,12,674,353,321,52.37,47.63
"CE","Altaneira",1,10,27,1348,680,668,50.45,49.55
"MG","Alterosa",1,7,41,1193,632,558,52.98,46.77
"PE","Altinho",1,14,59,1314,703,611,53.5,46.5
"SP","Altinópolis",1,7,49,1192,636,556,53.36,46.64
"RR","Alto Alegre",1,15,54,1899,944,955,49.71,50.29
"RS","Alto Alegre",1,4,6,493,254,239,51.52,48.48
"SP","Alto Alegre",1,5,17,834,426,407,51.08,48.8
"MA","Alto Alegre Do Maranhão",1,11,61,1403,724,679,51.6,48.4
"MA","Alto Alegre Do Pindaré",1,31,83,1115,574,541,51.48,48.52
"RO","Alto Alegre Dos Parecis",1,4,31,1260,662,598,52.54,47.46
"MT","Alto Araguaia",1,9,45,1629,863,766,52.98,47.02
"SC","Alto Bela Vista",1,3,7,488,248,240,50.82,49.18
"MT","Alto Boa Vista",1,4,16,1000,520,480,52,48
"MG","Alto Caparaó",1,3,16,866,473,389,54.62,44.92
"RN","Alto Do Rodrigues",1,11,42,1217,675,542,55.46,44.54
"RS","Alto Feliz",1,4,10,583,305,278,52.32,47.68
"MT","Alto Garças",1,2,31,1212,636,576,52.48,47.52
"GO","Alto Horizonte",1,2,18,1413,723,690,51.17,48.83
"MG","Alto Jequitibá",1,11,32,1176,637,537,54.17,45.66
"PI","Alto Longá",1,23,57,1351,713,638,52.78,47.22
"MT","Alto Paraguai",1,9,37,1086,553,533,50.92,49.08
"PR","Alto Paraná",1,5,33,1098,593,504,54.01,45.9
"PR","Alto Paraíso",1,2,11,853,437,416,51.23,48.77
"RO","Alto Paraíso",1,8,45,1639,871,768,53.14,46.86
"GO","Alto Paraíso De Goiás",1,8,24,1312,700,612,53.35,46.65
"MA","Alto Parnaíba",1,13,30,1150,581,569,50.52,49.48
"PR","Alto Piquiri",1,6,27,1087,547,540,50.32,49.68
"MG","Alto Rio Doce",1,6,35,1287,689,590,53.54,45.84
"ES","Alto Rio Novo",1,7,24,953,514,437,53.93,45.86
"CE","Alto Santo",1,21,62,1315,675,640,51.33,48.67
"MT","Alto Taquari",1,3,24,1340,712,628,53.13,46.87
"PI","Altos",1,32,138,2038,1084,954,53.19,46.81
"PR","Altônia",1,9,51,1165,598,567,51.33,48.67
"SP","Alumínio",1,4,44,1344,698,646,51.93,48.07
"MG","Alvarenga",1,8,20,1040,535,505,51.44,48.56
"AM","Alvarães",1,7,35,1293,626,667,48.41,51.59
"SP","Alvinlândia",1,2,11,697,373,324,53.52,46.48
"MG","Alvinópolis",1,7,42,1208,652,549,53.97,45.45
"RS","Alvorada",2,35,388,4920,2645,2275,53.76,46.24
"TO","Alvorada",1,8,34,1289,667,622,51.75,48.25
"MG","Alvorada De Minas",1,4,15,959,500,459,52.14,47.86
"PI","Alvorada Do Gurguéia",1,6,19,894,445,449,49.78,50.22
"GO","Alvorada Do Norte",1,5,24,1074,554,520,51.58,48.42
"RO","Alvorada Do Oeste",1,9,66,1221,621,600,50.86,49.14
"PR","Alvorada Do Sul",1,3,25,1100,562,538,51.09,48.91
"MG","Além Paraíba",1,37,120,1864,974,874,52.25,46.89
"RR","Amajari",1,11,30,1518,756,762,49.8,50.2
"MS","Amambai",1,15,96,1913,1014,899,53.01,46.99
"PR","Amaporã",1,3,13,825,438,387,53.09,46.91
"AP","Amapá",1,11,28,1352,699,653,51.7,48.3
"MA","Amapá Do Maranhão",1,6,24,742,381,361,51.35,48.65
"PE","Amaraji",1,10,50,1174,632,542,53.83,46.17
"RS","Amaral Ferrador",1,5,15,781,418,363,53.52,46.48
"GO","Amaralina",1,5,12,880,440,440,50,50
"PI","Amarante",1,44,75,1733,912,821,52.63,47.37
"MA","Amarante Do Maranhão",1,38,105,1920,999,921,52.03,47.97
"BA","Amargosa",1,16,88,1881,991,890,52.68,47.32
"AM","Amaturá",1,10,26,1389,693,696,49.89,50.11
"SP","Americana",2,47,349,5505,2937,2536,53.35,46.07
"GO","Americano Do Brasil",1,3,18,1174,610,564,51.96,48.04
"RS","Ametista Do Sul",1,10,19,898,481,417,53.56,46.44
"CE","Amontada",1,54,135,1827,960,867,52.55,47.45
"GO","Amorinópolis",1,3,18,957,497,460,51.93,48.07
"PB","Amparo",1,2,9,651,323,328,49.62,50.38
"SP","Amparo",1,21,167,1934,1029,903,53.21,46.69
"SE","Amparo De São Francisco",1,5,10,802,418,384,52.12,47.88
"MG","Amparo Do Serra",1,3,18,913,491,422,53.78,46.22
"PR","Ampére",1,15,47,1287,671,616,52.14,47.86
"BA","Amélia Rodrigues",1,12,64,1464,780,683,53.28,46.65
"BA","América Dourada",1,16,43,1250,652,598,52.16,47.84
"SP","Américo Brasiliense",1,9,100,1433,755,678,52.69,47.31
"SP","Américo De Campos",1,2,15,853,441,412,51.7,48.3
"AL","Anadia",1,7,46,1309,700,609,53.48,46.52
"BA","Anagé",1,20,89,1561,812,749,52.02,47.98
"PR","Anahy",1,2,10,693,354,339,51.08,48.92
"MA","Anajatuba",1,33,95,1639,847,792,51.68,48.32
"PA","Anajás",1,35,86,1351,703,648,52.04,47.96
"SP","Analândia",1,2,16,1094,572,522,52.29,47.71
"AM","Anamã",1,4,25,894,446,448,49.89,50.11
"PA","Ananindeua",3,101,697,10170,5537,4633,54.44,45.56
"TO","Ananás",1,7,32,1191,628,563,52.73,47.27
"PA","Anapu",1,19,79,2240,1153,1087,51.47,48.53
"MA","Anapurus",1,18,52,1228,632,596,51.47,48.53
"MS","Anastácio",1,14,79,1739,909,830,52.27,47.73
"MS","Anaurilândia",1,4,22,1061,566,495,53.35,46.65
"ES","Anchieta",1,30,99,1950,1027,923,52.67,47.33
"SC","Anchieta",1,6,18,760,384,376,50.53,49.47
"BA","Andaraí",1,11,40,1154,596,557,51.65,48.27
"PR","Andirá",1,8,56,1349,743,606,55.08,44.92
"BA","Andorinha",1,18,48,1360,691,669,50.81,49.19
"MG","Andradas",1,19,100,1642,863,765,52.56,46.59
"SP","Andradina",1,18,143,1779,931,848,52.33,47.67
"MG","Andrelândia",1,13,42,1062,566,493,53.3,46.42
"RS","André Da Rocha",1,1,4,494,261,233,52.83,47.17
"SP","Angatuba",1,8,57,1295,701,594,54.13,45.87
"PE","Angelim",1,5,25,1310,692,618,52.82,47.18
"SC","Angelina",1,8,21,787,411,376,52.22,47.78
"MG","Angelândia",1,6,23,972,521,445,53.6,45.78
"BA","Angical",1,34,56,1313,672,641,51.18,48.82
"PI","Angical Do Piauí",1,11,38,1070,549,521,51.31,48.69
"TO","Angico",1,2,12,762,368,394,48.29,51.71
"RN","Angicos",1,4,31,1156,628,528,54.33,45.67
"RJ","Angra Dos Reis",2,55,289,6183,3303,2841,53.42,45.95
"BA","Anguera",1,10,42,1237,645,591,52.14,47.78
"MS","Angélica",1,5,30,1073,559,514,52.1,47.9
"GO","Anhangüera",1,1,5,813,409,404,50.31,49.69
"SP","Anhembi",1,3,19,1096,571,525,52.1,47.9
"SP","Anhumas",1,1,10,809,432,377,53.4,46.6
"GO","Anicuns",1,11,52,1390,724,666,52.09,47.91
"SC","Anita Garibaldi",1,14,27,960,504,456,52.5,47.5
"SC","Anitápolis",1,6,14,753,404,349,53.65,46.35
"AM","Anori",1,6,31,1028,530,498,51.56,48.44
"RS","Anta Gorda",1,11,16,693,366,327,52.81,47.19
"BA","Antas",1,13,37,1147,606,541,52.83,47.17
"PR","Antonina",1,11,55,1517,803,714,52.93,47.07
"CE","Antonina Do Norte",1,9,31,1023,514,509,50.24,49.76
"PI","Antônio Almeida",1,7,16,730,372,358,50.96,49.04
"BA","Antônio Cardoso",1,15,40,1347,727,620,53.97,46.03
"MG","Antônio Carlos",1,23,33,1118,595,512,53.22,45.8
"SC","Antônio Carlos",1,4,26,1194,631,563,52.85,47.15
"MG","Antônio Dias",1,17,37,1153,595,554,51.6,48.05
"BA","Antônio Gonçalves",1,14,42,1311,673,638,51.33,48.67
"MS","Antônio João",1,4,28,1298,684,614,52.7,47.3
"RN","Antônio Martins",1,3,27,866,463,403,53.46,46.54
"PR","Antônio Olinto",1,10,25,858,460,398,53.61,46.39
"RS","Antônio Prado",1,28,40,938,503,435,53.62,46.38
"MG","Antônio Prado De Minas",1,2,9,599,300,299,50.08,49.92
"GO","Anápolis",3,88,573,9175,4987,4187,54.35,45.63
"PI","Anísio De Abreu",1,11,34,918,507,411,55.23,44.77
"PB","Aparecida",1,6,24,1055,564,491,53.46,46.54
"SP","Aparecida",1,14,89,1520,803,716,52.83,47.11
"SP","Aparecida D'oeste",1,1,12,822,434,388,52.8,47.2
"GO","Aparecida De Goiânia",3,63,521,10659,5734,4925,53.79,46.21
"GO","Aparecida Do Rio Doce",1,1,11,1067,543,524,50.89,49.11
"TO","Aparecida Do Rio Negro",1,2,17,1097,554,543,50.5,49.5
"MS","Aparecida Do Taboado",1,9,61,1648,882,766,53.52,46.48
"RJ","Aperibé",1,4,34,1475,742,730,50.31,49.49
"ES","Apiacá",1,6,26,1179,599,580,50.81,49.19
"MT","Apiacás",1,5,22,1411,725,686,51.38,48.62
"SP","Apiaí",1,15,71,1308,697,611,53.29,46.71
"MA","Apicum-Açu",1,16,57,1150,613,537,53.3,46.7
"SC","Apiúna",1,18,33,1117,593,524,53.09,46.91
"RN","Apodi",1,13,91,1658,894,763,53.92,46.02
"BA","Aporá",1,11,47,1453,771,682,53.06,46.94
"GO","Aporé",1,2,13,919,477,442,51.9,48.1
"BA","Apuarema",1,6,18,965,527,438,54.61,45.39
"PR","Apucarana",1,32,290,2470,1341,1129,54.29,45.71
"CE","Apuiarés",1,22,54,1467,751,716,51.19,48.81
"AM","Apuí",1,12,48,1487,760,727,51.11,48.89
"SE","Aquidabã",1,17,68,1592,833,759,52.32,47.68
"MS","Aquidauana",1,26,149,2512,1339,1173,53.3,46.7
"CE","Aquiraz",1,59,236,2780,1485,1295,53.42,46.58
"SC","Arabutã",1,7,13,720,346,374,48.06,51.94
"SE","Aracaju",3,137,648,9187,5012,4175,54.56,45.44
"CE","Aracati",1,86,218,2405,1287,1118,53.51,46.49
"BA","Aracatu",1,19,46,1228,639,589,52.04,47.96
"BA","Araci",1,50,135,1872,984,888,52.56,47.44
"MG","Aracitaba",1,5,14,837,437,399,52.21,47.67
"CE","Aracoiaba",1,43,96,1696,884,811,52.12,47.82
"ES","Aracruz",1,53,234,3293,1754,1494,53.26,45.37
"GO","Aragarças",1,10,49,1520,805,715,52.96,47.04
"GO","Aragoiânia",1,5,32,1834,932,902,50.82,49.18
"TO","Aragominas",1,5,20,920,442,478,48.04,51.96
"TO","Araguacema",1,6,20,1090,530,560,48.62,51.38
"MT","Araguaiana",1,2,10,919,453,466,49.29,50.71
"MT","Araguainha",1,1,5,622,296,326,47.59,52.41
"MA","Araguanã",1,13,37,1075,567,508,52.74,47.26
"TO","Araguanã",1,6,18,843,441,402,52.31,47.69
"GO","Araguapaz",1,6,24,1101,554,547,50.32,49.68
"MG","Araguari",1,49,309,2867,1496,1317,52.18,45.94
"TO","Araguatins",1,21,81,1829,943,886,51.56,48.44
"TO","Araguaçu",1,8,32,1161,598,563,51.51,48.49
"TO","Araguaína",2,50,368,5099,2714,2385,53.23,46.77
"MA","Araioses",1,57,140,1728,900,828,52.08,47.92
"MS","Aral Moreira",1,8,32,1227,652,575,53.14,46.86
"BA","Aramari",1,7,35,1208,648,560,53.64,46.36
"RS","Arambaré",1,5,13,955,495,460,51.83,48.17
"MA","Arame",1,33,90,1733,877,856,50.61,49.39
"SP","Aramina",1,2,15,858,454,404,52.91,47.09
"SP","Arandu",1,2,16,858,458,400,53.38,46.62
"MG","Arantina",1,5,12,704,367,337,52.13,47.87
"SP","Arapeí",1,1,8,769,397,372,51.63,48.37
"AL","Arapiraca",2,47,381,6014,3365,2649,55.95,44.05
"TO","Arapoema",1,5,21,898,456,442,50.78,49.22
"MG","Araponga",1,6,27,890,469,421,52.7,47.3
"PR","Arapongas",1,29,247,2710,1452,1258,53.58,46.42
"MG","Araporã",1,1,19,1317,677,640,51.4,48.6
"PR","Arapoti",1,10,66,1343,717,626,53.39,46.61
"MT","Araputanga",1,7,39,1231,663,568,53.86,46.14
"MG","Arapuá",1,2,11,842,445,397,52.85,47.15
"PR","Arapuã",1,4,13,674,342,332,50.74,49.26
"SC","Araquari",1,13,73,2749,1441,1308,52.42,47.58
"PB","Arara",1,5,37,1115,602,513,53.99,46.01
"SC","Araranguá",1,31,157,2235,1185,1050,53.02,46.98
"SP","Araraquara",2,49,404,4771,2533,2234,53.09,46.82
"SP","Araras",1,33,285,2729,1450,1273,53.13,46.65
"CE","Ararendá",1,19,45,1267,649,618,51.22,48.78
"MA","Arari",1,33,103,1435,774,661,53.94,46.06
"RS","Araricá",1,7,17,1096,568,528,51.82,48.18
"CE","Araripe",1,29,72,1350,703,647,52.07,47.93
"PE","Araripina",1,26,174,2056,1120,936,54.47,45.53
"RJ","Araruama",1,45,312,4328,2298,1966,53.1,45.43
"PB","Araruna",1,10,47,1644,872,772,53.04,46.96
"PR","Araruna",1,5,36,1266,676,590,53.4,46.6
"BA","Arataca",1,7,24,1210,609,601,50.33,49.67
"RS","Aratiba",1,10,20,825,430,395,52.12,47.88
"CE","Aratuba",1,12,51,1352,713,639,52.74,47.26
"BA","Aratuípe",1,9,30,1060,555,505,52.36,47.64
"PR","Araucária",1,55,358,2964,1586,1378,53.51,46.49
"SE","Arauá",1,12,37,1044,540,504,51.72,48.28
"MG","Araxá",1,28,242,2671,1427,1234,53.43,46.2
"PB","Araçagi",1,10,55,1287,654,633,50.82,49.18
"SP","Araçariguama",1,6,49,1927,996,931,51.69,48.31
"SP","Araçatuba",2,40,280,5064,2709,2349,53.5,46.39
"MG","Araçaí",1,3,10,929,463,466,49.84,50.16
"PE","Araçoiaba",1,7,49,1806,966,840,53.49,46.51
"SP","Araçoiaba Da Serra",1,10,75,2081,1081,1000,51.95,48.05
"GO","Araçu",1,2,21,993,519,474,52.27,47.73
"MG","Araçuaí",1,29,99,1888,980,896,51.91,47.46
"BA","Araçás",1,4,29,1276,687,589,53.84,46.16
"MG","Araújos",1,6,21,859,458,396,53.32,46.1
"MG","Arceburgo",1,3,21,1025,563,461,54.93,44.98
"SP","Arco-Íris",1,1,6,703,359,344,51.07,48.93
"MG","Arcos",1,17,106,1850,1005,826,54.32,44.65
"PE","Arcoverde",1,38,185,2501,1370,1131,54.78,45.22
"MG","Areado",1,5,39,1155,603,549,52.21,47.53
"RJ","Areal",1,7,35,1263,693,565,54.87,44.73
"SP","Arealva",1,4,21,953,506,443,53.1,46.48
"PB","Areia",1,15,82,1433,793,640,55.34,44.66
"RN","Areia Branca",1,21,91,1505,788,717,52.36,47.64
"SE","Areia Branca",1,11,53,1347,725,622,53.82,46.18
"PB","Areia De Baraúnas",1,3,8,756,402,354,53.17,46.83
"PB","Areial",1,4,19,906,469,437,51.77,48.23
"SP","Areias",1,2,12,898,463,435,51.56,48.44
"SP","Areiópolis",1,4,32,948,481,467,50.74,49.26
"MT","Arenápolis",1,5,30,1160,627,533,54.05,45.95
"GO","Arenópolis",1,3,14,1042,525,517,50.38,49.62
"RN","Arez",1,8,36,1212,655,557,54.04,45.96
"MG","Argirita",1,4,13,770,392,378,50.91,49.09
"MG","Aricanduva",1,4,16,985,501,468,50.86,47.51
"MG","Arinos",1,19,51,1416,738,674,52.12,47.6
"MT","Aripuanã",1,10,51,1826,936,889,51.26,48.69
"RO","Ariquemes",1,29,283,3394,1804,1590,53.15,46.85
"SP","Ariranha",1,4,23,868,475,393,54.72,45.28
"PR","Ariranha Do Ivaí",1,2,8,662,347,315,52.42,47.58
"SC","Armazém",1,7,23,1095,587,508,53.61,46.39
"RJ","Armação Dos Búzios",1,18,110,2573,1375,1198,53.44,46.56
"CE","Arneiroz",1,8,31,1108,546,562,49.28,50.72
"PI","Aroazes",1,8,27,863,447,416,51.8,48.2
"PB","Aroeiras",1,9,53,1379,723,656,52.43,47.57
"PI","Aroeiras Do Itaim",1,6,18,949,500,449,52.69,47.31
"PI","Arraial",1,11,23,799,432,367,54.07,45.93
"RJ","Arraial Do Cabo",1,14,108,2814,1490,1320,52.95,46.91
"TO","Arraias",1,6,32,1274,650,624,51.02,48.98
"RS","Arroio Do Meio",1,22,54,1166,629,537,53.95,46.05
"RS","Arroio Do Padre",1,5,10,497,265,232,53.32,46.68
"RS","Arroio Do Sal",1,8,28,1719,899,820,52.3,47.7
"RS","Arroio Do Tigre",1,28,40,936,507,429,54.17,45.83
"RS","Arroio Dos Ratos",1,7,36,1228,654,574,53.26,46.74
"RS","Arroio Grande",1,25,52,1194,653,541,54.69,45.31
"SC","Arroio Trinta",1,2,11,687,378,309,55.02,44.98
"SP","Artur Nogueira",1,10,113,2292,1210,1081,52.79,47.16
"GO","Aruanã",1,3,24,1379,696,683,50.47,49.53
"SP","Arujá",1,25,214,2795,1470,1323,52.59,47.33
"SC","Arvoredo",1,6,9,663,313,350,47.21,52.79
"RS","Arvorezinha",1,12,29,959,507,452,52.87,47.13
"SC","Ascurra",1,10,23,1101,586,515,53.22,46.78
"SP","Aspásia",1,1,7,578,301,277,52.08,47.92
"CE","Assaré",1,26,91,1406,738,667,52.49,47.44
"PR","Assaí",1,7,44,1186,634,552,53.46,46.54
"SP","Assis",1,24,219,2311,1254,1057,54.26,45.74
"AC","Assis Brasil",1,12,28,1118,583,535,52.15,47.85
"PR","Assis Chateaubriand",1,17,87,1602,827,774,51.62,48.31
"PB","Assunção",1,3,14,772,407,365,52.72,47.28
"PI","Assunção Do Piauí",1,14,34,1146,567,579,49.48,50.52
"RN","Assú",1,18,128,2392,1282,1110,53.6,46.4
"MG","Astolfo Dutra",1,6,37,1210,653,552,53.97,45.62
"PR","Astorga",1,10,63,1368,709,659,51.83,48.17
"AL","Atalaia",1,18,111,1720,929,791,54.01,45.99
"PR","Atalaia",1,2,12,695,355,340,51.08,48.92
"AM","Atalaia Do Norte",1,14,41,1301,668,633,51.35,48.65
"SC","Atalanta",1,2,13,674,349,325,51.78,48.22
"MG","Ataléia",1,8,43,1309,686,608,52.41,46.45
"SP","Atibaia",1,51,355,3005,1591,1409,52.95,46.89
"ES","Atílio Vivácqua",1,10,36,1139,609,524,53.47,46.01
"TO","Augustinópolis",1,11,44,1339,710,629,53.02,46.98
"PA","Augusto Corrêa",1,58,145,1747,919,828,52.6,47.4
"MG","Augusto De Lima",1,8,19,863,448,415,51.91,48.09
"RS","Augusto Pestana",1,19,27,774,406,368,52.45,47.55
"BA","Aurelino Leal",1,9,38,1140,587,553,51.49,48.51
"SP","Auriflama",1,4,33,1157,613,544,52.98,47.02
"GO","Aurilândia",1,2,10,865,462,403,53.41,46.59
"CE","Aurora",1,28,83,1612,845,767,52.42,47.58
"SC","Aurora",1,12,20,913,460,453,50.38,49.62
"PA","Aurora Do Pará",1,26,75,1535,793,742,51.66,48.34
"TO","Aurora Do Tocantins",1,2,13,855,436,419,50.99,49.01
"AM","Autazes",1,29,111,2103,1103,1000,52.45,47.55
"SP","Avanhandava",1,3,27,902,478,424,52.99,47.01
"SP","Avaré",1,25,217,2168,1129,1035,52.08,47.74
"SP","Avaí",1,3,17,921,501,420,54.4,45.6
"PA","Aveiro",1,42,63,1484,741,743,49.93,50.07
"PI","Avelino Lopes",1,13,35,990,505,485,51.01,48.99
"GO","Avelinópolis",1,2,13,1494,768,726,51.41,48.59
"MA","Axixá",1,18,43,1352,707,645,52.29,47.71
"TO","Axixá Do Tocantins",1,8,40,1181,632,549,53.51,46.49
"MA","Açailândia",1,55,292,3099,1675,1424,54.05,45.95
"MG","Açucena",1,12,41,1107,581,524,52.48,47.34
"TO","Babaçulândia",1,6,31,1069,540,529,50.51,49.49
"MA","Bacabal",1,83,334,2547,1362,1185,53.47,46.53
"MA","Bacabeira",1,15,54,1485,801,684,53.94,46.06
"MA","Bacuri",1,22,64,1401,731,670,52.18,47.82
"MA","Bacurituba",1,6,20,929,470,459,50.59,49.41
"SP","Bady Bassitt",1,4,43,1949,1040,909,53.36,46.64
"MG","Baependi",1,11,52,1263,668,593,52.89,46.95
"PA","Bagre",1,14,55,1242,634,608,51.05,48.95
"RS","Bagé",2,36,273,4353,2393,1960,54.97,45.03
"BA","Baianópolis",1,25,49,1291,669,622,51.82,48.18
"BA","Baixa Grande",1,13,57,1143,575,568,50.31,49.69
"PI","Baixa Grande Do Ribeiro",1,9,40,1321,687,634,52.01,47.99
"CE","Baixio",1,9,23,966,489,477,50.62,49.38
"ES","Baixo Guandu",1,18,90,1812,980,832,54.08,45.92
"PA","Baião",1,51,107,2217,1123,1094,50.65,49.35
"SP","Balbinos",1,1,5,520,276,244,53.08,46.92
"MG","Baldim",1,7,32,1129,575,553,50.93,48.98
"GO","Baliza",1,4,15,1096,538,558,49.09,50.91
"SC","Balneário Arroio Do Silva",1,6,36,1678,871,807,51.91,48.09
"SC","Balneário Barra Do Sul",1,6,32,1670,841,829,50.36,49.64
"SC","Balneário Camboriú",2,19,281,4798,2553,2245,53.21,46.79
"SC","Balneário Gaivota",1,6,36,1689,901,788,53.35,46.65
"RS","Balneário Pinhal",1,7,30,1968,1011,957,51.37,48.63
